Complexity,Loss,Equation
1,0.5291432,"0.96170235"
3,0.4142376,"sqrt(exp(x3))"
4,0.37192395,"exp(x3 * 0.35201427)"
5,0.35624257,"(x3 * 0.41647464) + 0.9608594"
6,0.32309288,"sqrt(exp(sin(x5 + x3)))"
7,0.26593062,"sin(x7 + sin(x3)) - -0.97165436"
8,0.24368645,"sin(sin(x5 + sin(x3))) - -0.9701477"
9,0.22085617,"sin((x5 * 1.3092978) + sin(x3)) - -0.9751961"
10,0.20680824,"sin(x3 - (x5 * 1.5737303)) + (x5 - -0.9697258)"
11,0.17896739,"sin(x7 + sin(x3 - (x5 * 1.6827018))) - -0.97035813"
13,0.17879182,"sin((x5 / 1.0177691) + sin(x3 - (x5 * 1.6696779))) - -0.9703136"
15,0.16764472,"sin(((x1 + x5) - x6) + sin(x3 - (x5 * 1.6849248))) - -0.9723172"
16,0.16675936,"sin((x1 + (sin(x3 - (x5 * 1.6388837)) + x5)) - sin(x4)) - -0.9695795"
17,0.15043852,"sin((x1 + sin(x3 - (x5 * 1.5700549))) + ((x5 - x6) / 1.1755241)) - -0.97165096"
19,0.14938909,"sin((x1 + sin((x3 - (x5 * 1.6689541)) * 0.8952586)) + ((x5 - x6) / 1.1635678)) - -0.9706307"
