Complexity,Loss,Equation
1,0.5282154,"0.97181505"
3,0.40368807,"sqrt(exp(x3))"
4,0.35535616,"log(x3 + 2.8291473)"
5,0.3464767,"(x3 * 0.42671847) + 0.96303034"
6,0.32364088,"sqrt(exp(sin(x7 + x3)))"
7,0.26687363,"sin(x5 + sin(x3)) + 0.9748604"
8,0.24442959,"sin(sin(x7 + sin(x3))) + 0.97388154"
9,0.2259614,"sin((x5 * 1.2983881) + sin(x3)) + 0.98140883"
10,0.20651658,"sin(x3 + (x7 * -1.582444)) + (x7 + 0.9757322)"
11,0.18139534,"sin(sin(x3 + (x5 / -0.5976318)) + x5) + 0.975508"
13,0.1812542,"sin((0.97549397 * x5) + sin(x3 + (x5 * -1.6655451))) + 0.97544765"
15,0.18103427,"sin((sin((x5 * -1.7176275) + (x3 / 0.91775995)) + x5) * 0.92646563) + 0.9756816"
16,0.17990877,"sin((1.4093264 * x5) + sin(x3 + (x3 * sin(x5 * x5)))) + 0.9709955"
17,0.1788935,"sin((x7 * 1.4094802) + sin(x3 + (x3 * ((x7 * 0.4469067) * x7)))) + 0.97351754"
18,0.17802133,"sin(sin(x3 + (x5 * sin(x3 * (x5 * 0.549043)))) + (x5 * 1.4125001)) + 0.9742545"
19,0.17767648,"sin(sin(((x5 * ((x5 * 0.5862456) * x3)) + x3) * 0.87430364) + (x5 * 1.4094983)) + 0.9725142"
20,0.17679207,"sin(sin((((sin(x3 * 0.73825866) * x5) * x5) + x3) * 0.85561883) + (x5 * 1.4119375)) + 0.9716183"
