Complexity,Loss,Equation
1,0.53246886,"0.95851135"
3,0.41446075,"sqrt(exp(x3))"
4,0.36852425,"log(x3 + 2.8340454)"
5,0.35848662,"(x3 * 0.41764823) + 0.9607842"
6,0.32247904,"sin(x3 + x5) + 0.9735498"
7,0.2643494,"sin(sin(x3) + x5) + 0.97221756"
8,0.24240789,"sin(sin(sin(x3) + x7)) + 0.97043514"
9,0.2195074,"sin((x5 * 1.3061397) + sin(x3)) + 0.97600883"
10,0.20703305,"(x5 + 0.9707946) + sin((x7 * -1.5798576) + x3)"
11,0.1798328,"sin(sin((x5 * -1.6870674) + x3) + x5) + 0.9711688"
13,0.17805268,"sin((x5 / 0.7210586) + sin(x3 / cos(sin(x7)))) + 0.9729578"
15,0.17708413,"sin((sin(x3 / cos(sin(x7))) + (x5 / 0.72063863)) + -0.039056923) + 0.9743934"
17,0.17305043,"sin((x5 / 0.6796322) + sin((x5 + x3) / (cos(x1) / cos(x6)))) + 0.9513991"
18,0.15995353,"sin((x5 / 0.72563577) + sin((cos(x6) / cos(x1)) * (sin(x5) + x3))) + 0.95530826"
20,0.15787588,"sin((x5 / 0.7248845) + sin(((sin(x5 - 0.116512515) + x3) * cos(x6)) / cos(x1))) + 0.98754704"
