Complexity,Loss,Equation
1,0.52353823,"0.95464516"
3,0.4079041,"sqrt(exp(x3))"
4,0.3661683,"exp(x3 * 0.3528464)"
5,0.35034454,"(x3 * 0.41596204) + 0.95600927"
6,0.32392403,"sqrt(exp(sin(x3 + x5)))"
7,0.26731125,"sin(x5 + sin(x3)) + 0.97370434"
8,0.24435078,"sin(sin(sin(x3) + x5)) + 0.97116065"
9,0.22221394,"sin(sin(x3) + (x7 * -3.2278967)) + 0.98327523"
10,0.20429572,"sin(x3 - (x7 * 1.578355)) + (x5 + 0.97115123)"
11,0.17703195,"sin(sin(x3 + (x5 * -1.6799736)) + x7) + 0.97208214"
13,0.17683503,"0.97208214 + sin((x7 + sin((x7 * -1.6799736) + x3)) * 0.97208214)"
14,0.17683472,"sin(cos(-0.24265048) * (x7 + sin((x7 * -1.6799736) + x3))) + 0.97208214"
15,0.16651967,"sin((sin(x3 - (x7 * 1.6836785)) + (x7 + x1)) - x4) + 0.97382456"
16,0.16645886,"sin(sin(x3 - (x7 * 1.687596)) + (x7 + sin(x1 - x6))) + 0.97379607"
17,0.14989771,"0.9698923 + sin(sin(x3 - (x5 * 1.287964)) + ((x1 - sin(x6)) + sin(x5)))"
18,0.1453784,"sin(sin(x3 - (x5 * 1.5045788)) + (((x5 + x1) - sin(x6)) / 1.2321284)) + 0.9712861"
20,0.14532253,"sin((sin(x3 - (x5 * 1.5050821)) + ((x1 + (x5 - sin(x6))) / 1.2315428)) + -0.02608178) + 0.99061704"
