Complexity,Loss,Equation
1,0.5225013,"0.9553661"
3,0.42382604,"sqrt(exp(x3))"
4,0.3689968,"log(x3 - -2.8309495)"
5,0.36144987,"(x3 * 0.40317762) - -0.9588739"
6,0.32399246,"sqrt(exp(sin(x5 + x3)))"
7,0.27183324,"sin(sin(x3) + x7) + 0.9799897"
8,0.24810295,"sin(sin(x5 + sin(x3))) + 0.9769482"
9,0.2220703,"sin((x7 / 0.7551257) + sin(x3)) + 0.982282"
10,0.20870066,"sin(x3 + (x5 * -1.5770228)) + (x7 + 0.9776922)"
11,0.17804472,"sin(sin(x3 + (x5 * -1.6924238)) + x5) + 0.97586584"
13,0.17756021,"sin((x7 * 0.9715325) + sin((x5 * -1.6732569) + x3)) + 0.97550124"
15,0.1720571,"sin(((x1 * 0.10180014) + x5) + sin(x3 + (x5 * -1.6860088))) + 0.9750656"
17,0.16935374,"sin(sin((x5 * -1.6337174) + x3) + ((x1 * 0.123567656) + (x5 * 0.9275657))) + 0.9739402"
18,0.16869704,"sin(x7 + (sin((x5 * -1.6892304) + x3) + (sin(x6 * -2.8856256) * 0.13146599))) + 0.9747441"
